lr,momentum,regularization,t_max,weightdecay,job_id,objective,timestamp_submit,timestamp_gather,timestamp_start,timestamp_end
0.001794817348237518,0.3044374551462521,0.24726431383657307,16,0.0009095669050743621,3,0.8146,0.0380406379699707,1435.2072319984436,0.041706085205078125,1435.204344034195
0.01950621630812649,0.5844257568001894,0.7983474289494692,42,0.00012435623627272117,6,0.7016,0.03807830810546875,1452.9238414764404,0.041716814041137695,1452.9214124679565
0.000960795388424262,0.7393801780480569,0.5394097553761291,30,6.762174947302411e-05,4,0.8952,0.038053035736083984,1462.7013182640076,0.04170346260070801,1462.6991157531738
0.07476107672423918,0.9076687078700167,0.04012744113782774,36,0.0001018805972958651,5,0.4906,0.038065433502197266,1463.0137944221497,0.04168987274169922,1463.0119729042053
0.0007374709276704596,0.3719589314842583,0.4149878042873622,20,3.59895713225367e-05,2,0.9092,0.038027048110961914,1463.4311714172363,0.04171276092529297,1463.428730249405
2.864751374405642e-05,0.3443528335715995,0.33401065273254754,19,4.354954666896416e-05,1,0.899,0.03800773620605469,1481.2979509830475,0.04168510437011719,1481.2954802513123
7.989815572072895e-05,0.3702165667730689,0.010538109258677373,5,0.0007961711363960115,7,0.8842,0.03809070587158203,1484.3492844104767,0.04168820381164551,1484.3470549583435
5.421560890759749e-05,0.7195050703708967,0.5522341694502935,46,7.982273489890022e-05,8,0.9312,1435.2917864322662,2874.450374364853,1435.2935724258423,2874.4476623535156
0.002956130591283576,0.5290964732909654,0.5985198467030513,19,1.2851819524333222e-05,9,0.8816,1452.9679424762726,2899.5779225826263,1452.9693970680237,2899.5760159492493
0.009690148896596099,0.945132393069678,0.13261377780216418,41,1.3822894606752803e-05,12,0.6914,1463.4729311466217,2932.4997951984406,1463.474659204483,2932.497264146805
0.0009578445007990206,0.8525997383550163,0.1509848668243011,4,2.472785490360307e-05,11,0.852,1463.055520772934,2938.641636133194,1463.0578019618988,2938.6395320892334
3.0811622484656594e-05,0.8420738535508397,3.331689279972119,48,0.00033526289877243014,10,0.9322,1462.744534254074,2944.4587349891663,1462.7460157871246,2944.456962585449
2.8157016018417554e-05,0.3405505534823213,4.552094894096307,35,1.784210339233546e-05,14,0.8992,1484.3926420211792,2961.0793149471283,1484.395007610321,2961.0771243572235
4.973380020713214e-05,0.649747582213633,0.15737539698290842,45,0.00018675057347283705,13,0.9288,1481.478087425232,2962.0336005687714,1481.4796831607819,2962.0319414138794
0.13935290435158543,0.8700368342315837,5.645643230005859,24,0.00026997290647608603,15,0.1186,2874.504303455353,4316.8621282577515,2874.506106853485,4316.835220813751
0.0029942499047782975,0.41348982047034033,0.358525806538929,30,6.713161150022144e-05,16,0.864,2899.621767282486,4347.085503816605,2899.6239540576935,4347.082845211029
5.845893415923234e-05,0.7846204990984745,0.040915935970739836,47,7.341520971870359e-05,17,0.9298,2932.9397823810577,4411.753913640976,2932.941367149353,4411.751219987869
1.2140211698375688e-05,0.922814335605771,0.4352117714326993,35,8.077480695009433e-05,18,0.9222,2939.0831487178802,4416.101092576981,2939.0848166942596,4416.098561048508
5.149166659117502e-05,0.6940658175137445,0.04679621739340352,38,8.625040274187289e-05,21,0.9258,2962.4900476932526,4420.973929405212,2962.4917900562286,4420.972029209137
3.1572741705730907e-05,0.7630026421860188,0.010432585821467976,33,8.536382713213491e-05,20,0.921,2961.534111738205,4421.808453798294,2961.5360012054443,4421.806465387344
2.16885222604666e-05,0.8748374948045978,0.01135621180397214,36,8.26533954658178e-05,19,0.9226,2945.0411553382874,4445.273589134216,2945.0427339076996,4445.271065950394
5.7653088938200295e-05,0.795812555440925,7.484836769631081,28,0.0002719365160919867,22,0.9224,4317.6873297691345,5764.243732690811,4317.691027402878,5764.24120926857
0.0004200488349198949,0.8261293452840868,8.521514270196542,31,0.000366816370013353,23,0.873,4347.552872657776,5796.07811665535,4347.554721832275,5796.075661182404
1.444862399500571e-05,0.846804744490683,9.417167557613656,35,0.0002552963662112316,27,0.9178,4422.288774013519,5880.10240149498,4422.29100561142,5880.100505113602
2.765328264556281e-05,0.8687596409126028,9.567895494698742,27,0.0002455085362674723,26,0.922,4421.5644500255585,5882.2193150520325,4421.565981388092,5882.217405557632
1.2785867767530623e-05,0.863207177418475,8.827421791855341,21,0.00024371087868611184,25,0.9066,4416.575552225113,5889.552216053009,4416.577636480331,5889.550004720688
1.2070301283098995e-05,0.775076652349741,6.29167563242934,24,0.0005639060585607275,24,0.895,4412.22678565979,5892.358464479446,4412.229109764099,5892.356236219406
1.140366999418307e-05,0.9163051242808385,7.933295790508056,14,0.0002790882771202983,28,0.9248,4445.754506349564,5944.1647317409515,4445.756727933884,5944.162091970444
0.00012634705805724238,0.8662229051757487,6.204816481723589,24,0.00039421498384387257,29,0.901,5764.750924110413,7200.27613902092,5764.752930402756,7200.274016857147
2.912110107049489e-05,0.8766039040313952,3.813528606369104,23,0.0003469903041567157,30,0.9154,5796.710379123688,7242.308118104935,5796.7123029232025,7242.304983854294
4.076041417814262e-05,0.8598944145117323,5.068584040637697,14,0.00023689913873813686,32,0.922,5882.707884788513,7337.530652523041,5882.70977473259,7337.528813362122
2.560570106652317e-05,0.9360361280734254,5.254628451478057,23,0.00020361956195440178,31,0.9176,5880.601558446884,7341.133248806,5880.603312015533,7341.131432056427
4.741192437304972e-05,0.901227936446955,6.47224371663461,15,0.00029967447606045185,33,0.9282,5890.153374910355,7359.595220565796,5890.155781030655,7359.593173742294
