lr,momentum,regularization,t_max,weightdecay,job_id,objective,timestamp_submit,timestamp_gather,timestamp_start,timestamp_end
0.07801576795233187,0.19861515660726298,0.07994656482089293,8,2.044578411498935e-05,5,0.632,0.04849815368652344,720.4989767074585,0.05126452445983887,720.4955832958221
0.025000876103621193,0.7671043990038527,8.426898944447732,49,0.00015800555274106515,3,0.1894,0.04847359657287598,730.3028450012207,0.05126595497131348,730.300368309021
0.20633843934025875,0.2577312515727572,0.024389643868255644,42,3.067212792905164e-05,7,0.1032,0.048521995544433594,735.9825994968414,0.05125737190246582,735.9799356460571
0.0002862999732047197,0.5944681966051601,4.320367547887898,20,0.0001481776925241464,2,0.912,0.04846000671386719,736.614679813385,0.05127358436584473,736.6124503612518
0.00011822021088337075,0.8539313914174571,0.480395624756603,39,0.00016455979737200682,1,0.9046,0.04844069480895996,737.7768607139587,0.05127859115600586,737.7748522758484
0.010620462123716673,0.450930847143042,0.010349499418696256,6,0.00034244021982426606,6,0.5964,0.04851031303405762,737.9567337036133,0.05126070976257324,737.9552345275879
1.003632988678466e-05,0.12419404516774663,4.486363213941331,17,0.00019771906048682685,4,0.7708,0.04848599433898926,741.1124329566956,0.051278114318847656,741.1098530292511
2.377559496961787e-05,0.13498555640905888,0.8981430813343956,35,5.193309484987616e-05,8,0.874,720.5553846359253,1440.5985271930695,720.5584101676941,1440.5962624549866
0.01829321389312244,0.19245891344172145,0.045670473806972894,4,0.00021002009975739974,9,0.632,730.3465883731842,1460.0906977653503,730.348400592804,1460.0878891944885
0.12067550974096784,0.6247254533239048,0.4644872456267204,50,0.00011103137237705859,11,0.1234,736.6580827236176,1468.9301853179932,736.6604297161102,1468.928394794464
0.04608418392836379,0.2019743967952456,0.8826833157308529,20,8.864931685461809e-05,10,0.5874,736.0261435508728,1469.4236814975739,736.0279591083527,1469.4212250709534
0.0008966173377950756,0.46050668925179294,1.436038796791574,47,0.00010174935233255142,13,0.8908,738.1389698982239,1474.0535004138947,738.1416575908661,1474.0508830547333
0.00011219577508323779,0.5733990078234726,5.313852396801982,42,1.3146018025400728e-05,12,0.9092,737.8196239471436,1475.3537724018097,737.8218183517456,1475.3520257472992
0.016130658770544763,0.30739374994853647,0.6353318928163127,14,0.00013626471297072522,14,0.5604,741.1553630828857,1477.7487831115723,741.1567676067352,1477.7470948696136
0.007706984071397223,0.521907901965679,0.4239312993734557,26,3.552328757758712e-05,15,0.796,1440.64422249794,2166.204011440277,1440.6487913131714,2166.201601743698
1.320193540102978e-05,0.5163998269668918,0.08543945080289676,31,9.001237245938522e-05,16,0.8744,1460.1339824199677,2191.1131567955017,1460.1368963718414,2191.1105291843414
0.00015995571479809147,0.6841994093267041,1.7912684696149312,46,0.00010463056396398583,18,0.9052,1469.856199979782,2200.86093211174,1469.8591418266296,2200.8589742183685
6.694365410265064e-05,0.6099579853597452,2.287715257944259,41,8.577167281092156e-05,17,0.9108,1469.3678929805756,2201.3349602222443,1469.3704023361206,2201.111499786377
9.773020427883208e-05,0.7938554197554905,3.6568359292300836,50,8.697758077459534e-05,21,0.899,1478.1951487064362,2209.7740046977997,1478.1975512504578,2209.7720096111298
0.0005801009490606166,0.7391494472451783,2.9623358460811926,42,0.00012026047634481894,19,0.8728,1474.6293473243713,2210.3662967681885,1474.6323218345642,2209.7951974868774
0.0008974519783929764,0.8174472898325729,1.8380217448183802,44,0.00014412379278608194,20,0.7822,1475.793175458908,2210.8372814655304,1475.7959570884705,2210.6739406585693
9.484908419949805e-05,0.689464451672027,0.46061156051515384,49,0.00016934820129323302,22,0.9006,2166.8010137081146,2886.469420194626,2166.8040623664856,2886.4669234752655
0.00012711092821095628,0.7399778662450538,4.345495627857026,50,0.00011282680981764574,23,0.9054,2191.578386068344,2921.6220111846924,2191.579893350601,2921.6193511486053
0.0013828986671380425,0.9495219264677158,6.145843091617856,50,0.00010783486031556985,25,0.5454,2201.803543806076,2931.4672746658325,2201.806152820587,2931.4650852680206
0.0006093409285556713,0.6086842194644073,3.2040776698199194,48,0.00011089647101567975,24,0.872,2201.334769487381,2936.6004428863525,2201.338089466095,2936.598692417145
0.0006829261611959075,0.5918532809478932,0.3512846614076019,50,6.989721044724117e-05,28,0.8784,2211.311461687088,2944.3432738780975,2211.314684867859,2944.340732574463
0.0007862426686844902,0.7296318861054396,0.8077643411829654,48,0.00010912005856951594,26,0.8464,2210.3661017417908,2945.4857308864594,2210.369035243988,2945.484176635742
0.0001551388049702317,0.8649028586868664,0.23358424362452934,50,0.0001623419959015486,27,0.8872,2210.837098836899,2945.9823224544525,2210.840131998062,2945.980898618698
0.0007136252532630534,0.6381628342559239,0.23360486954408305,48,0.00010030062291785471,29,0.8724,2886.9491913318634,3607.691164970398,2886.951072692871,3607.6892018318176
0.00016283530534424957,0.5913610409322755,9.320877861020657,49,0.00017329491117181473,30,0.8958,2922.2306690216064,3651.2565801143646,2922.2335250377655,3651.2548830509186
0.00012901204663393675,0.7377701371326689,7.738539087406875,49,0.00014745873189431048,31,0.9034,2931.9491751194,3663.1429324150085,2931.95245718956,3663.141149997711
3.247030727160483e-05,0.6255118236879225,0.024546456110290996,50,0.00012290532816282255,32,0.905,2937.080405473709,3671.0153222084045,2937.0826587677,3671.0125637054443
0.0007679564292049978,0.5760247167608153,0.5814831684188917,48,0.00011824844020878832,34,0.8794,2945.967869281769,3675.973342895508,2945.9704484939575,3675.970458507538
