lr,momentum,optimizers,regularization,weightdecay,job_id,objective,timestamp_submit,timestamp_gather,timestamp_start,timestamp_end
2.1494833714382638e-05,0.9199873725491213,rmsprop,0.13663120822382727,4.5547059284731695e-05,2,0.7656,0.0299680233001709,143.93211793899536,0.03229522705078125,143.92919659614563
0.002236068,0.525,rmsprop,0.316227766,0.0001,1,0.7004,0.029951095581054688,143.97780752182007,0.03229403495788574,143.9656834602356
0.004733439719600509,0.870462360270509,rmsprop,0.03128860724084489,1.7670154693007524e-05,5,0.584,0.03000187873840332,144.6441206932068,0.03258156776428223,144.64134454727173
1.2248878599052346e-05,0.7558769815710428,rmsprop,1.966729086197734,0.00015453997776716303,7,0.7214,0.03002333641052246,145.5506932735443,0.032340049743652344,145.54886531829834
0.08849023773335002,0.16858796623599293,rmsprop,0.02309145773625245,1.7142267169660015e-05,3,0.1194,0.029979705810546875,145.87850189208984,0.03232121467590332,145.87685561180115
0.0011317251236871192,0.20016089148262806,rmsprop,1.08096486186825,9.357369282664379e-05,6,0.7316,0.030012845993041992,147.4327676296234,0.03259897232055664,147.43057537078857
3.716373578041473e-05,0.8554095433848531,rmsprop,0.02111737196577346,0.00011553014642794446,4,0.764,0.02999091148376465,149.37682247161865,0.03231978416442871,149.37467288970947
0.004774406032512971,0.12388650015170355,rmsprop,0.11046532127287974,1.2223057536844987e-05,9,0.7196,144.01682877540588,282.2483546733856,144.0184404850006,282.2459075450897
0.03203990898633374,0.3969064449487052,rmsprop,0.10202008428415592,3.825420073451351e-05,8,0.3744,143.9776165485382,283.332448720932,143.97973370552063,283.3308837413788
0.27445368795323677,0.6127589267318716,rmsprop,0.5345548543473845,3.700144279867151e-05,10,0.1064,144.68372702598572,284.34739232063293,144.68508744239807,284.34547424316406
1.1509870673368802e-05,0.5859086764677394,rmsprop,2.395240497081442,0.0001365785108185734,12,0.6722,145.91798782348633,285.2065517902374,145.92074990272522,285.2047128677368
0.0026126067393085245,0.550996789176614,rmsprop,7.937196630938846,0.00017142484331561834,11,0.67,145.59041452407837,286.2473723888397,145.5936620235443,286.24574160575867
0.02254381239968307,0.18222043557422815,rmsprop,0.4053820774915685,9.551863818798713e-05,13,0.5008,147.58813190460205,288.9017901420593,147.5904996395111,288.90015506744385
0.00018170100960273176,0.44630513996333754,rmsprop,0.0990449427315621,0.00044212490897997724,14,0.7712,149.41606736183167,292.1270754337311,149.4185652732849,292.12535309791565
1.5973511857552977e-05,0.5393165897447256,rmsprop,5.707894103966101,0.00022736376001216037,15,0.6906,282.2884428501129,420.345255613327,282.2905595302582,420.3432421684265
0.005511700561829821,0.3693811296950066,rmsprop,0.03242379536498126,3.925720662976794e-05,16,0.7118,283.3709936141968,422.5755786895752,283.3730595111847,422.57321548461914
6.80895296694966e-05,0.9391128939143057,rmsprop,0.5684402125015408,3.962601203531168e-05,17,0.7604,284.78710651397705,425.0750734806061,284.78958892822266,425.0725247859955
0.00012260378895615214,0.1788847376252985,rmsprop,0.013433190890293682,9.385172739969813e-05,18,0.7612,285.7608132362366,425.6187002658844,285.7627999782562,425.61693000793457
0.00010456265950167364,0.17220741638186626,rmsprop,0.018749861004651938,5.4081983556606066e-05,19,0.7524,286.69079542160034,426.79919600486755,286.6930203437805,426.79714798927307
9.368463077375492e-05,0.9328388141089295,rmsprop,0.7889632295004829,4.449461152984613e-05,20,0.7618,289.347852230072,430.8649654388428,289.34947633743286,430.8625545501709
0.00019569252007519103,0.18459536844607044,rmsprop,0.010266294154870258,0.0007929284805793511,21,0.75,292.5798864364624,435.7854301929474,292.5821042060852,435.7832124233246
0.00012104196230235242,0.6671720980650839,rmsprop,0.018657313791217225,4.623588753605072e-05,22,0.7574,420.9406762123108,559.2376334667206,420.9425992965698,559.2360513210297
4.867277490256535e-05,0.18865283405720362,rmsprop,0.01470551780379767,2.2961926871818672e-05,23,0.7282,423.043173789978,561.7523121833801,423.04559898376465,561.7498400211334
3.112198339133738e-05,0.1529046099264501,rmsprop,0.01517422720723135,2.396543132900564e-05,24,0.6804,425.5364773273468,565.4800913333893,425.53868675231934,565.4780263900757
0.0001406195171226697,0.7049853028262114,rmsprop,0.41122083522088676,3.745335229896961e-05,25,0.759,426.08419609069824,565.972382068634,426.08609557151794,565.9708986282349
0.00010484744101742966,0.7219794889320463,rmsprop,0.7221685905121249,3.6659883826664154e-05,26,0.7662,427.4018223285675,567.4242634773254,427.4041633605957,567.4222061634064
0.00043981145215438514,0.7577343844520626,rmsprop,0.6535675656756361,3.7958791890303356e-05,27,0.7188,431.34057092666626,572.3369646072388,431.34242248535156,572.3340666294098
1.927442467546191e-05,0.740959886131659,rmsprop,0.42089087110307644,3.5927207267910934e-05,28,0.7392,436.2619791030884,579.0655353069305,436.2644121646881,579.063071012497
0.0003201523703422398,0.7645191663190739,rmsprop,0.6562006243877668,2.9572943795105572e-05,29,0.7464,559.8358938694,698.9329617023468,559.8372666835785,698.9305710792542
6.159332932444593e-05,0.6950345695688246,rmsprop,0.6137286268423656,3.638010167947759e-05,30,0.7566,562.4059257507324,701.5846788883209,562.4078693389893,701.5827820301056
8.116638600286349e-05,0.5945231350516375,rmsprop,0.8603861601871501,3.489212181289834e-05,31,0.782,565.9640946388245,705.7516367435455,565.966420173645,705.7492210865021
0.00030797485243158347,0.7207458952379657,rmsprop,0.530851070252449,3.444488170098096e-05,32,0.7644,566.4549784660339,706.4557144641876,566.4565711021423,706.4539947509766
